selection_policy,budget_fraction,value_retention_mean,ci95_low,ci95_high,n_cells,candidate_updates_total,value_retention_per_cell_mean,value_definition
CoverageAdvantage,0.4,0.3710377665729029,0.3321944149344307,0.41198445230924224,52,2133,0.3710377665729029,next_use_all_policies
CoverageAdvantage,0.5,0.5088993272255689,0.4577200694544569,0.5646792219296045,52,2133,0.5088993272255689,next_use_all_policies
CoverageAdvantage,0.6,0.6620179402167524,0.6202010510254644,0.7062737731213143,52,2133,0.6620179402167524,next_use_all_policies
CoverageAdvantage,0.8,0.875264613594584,0.8482380113161068,0.9020607682674294,52,2133,0.875264613594584,next_use_all_policies
CoverageAdvantage,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
CoverageDelta,0.1,0.055934959438580054,0.04573552480277708,0.06756027828586617,52,2133,0.055934959438580054,next_use_all_policies
CoverageDelta,0.2,0.13728396875095034,0.11908701956636682,0.1554957310071364,52,2133,0.13728396875095034,next_use_all_policies
CoverageDelta,0.3,0.2729259757988455,0.2469364097730782,0.3005788649131883,52,2133,0.2729259757988455,next_use_all_policies
CoverageDelta,0.4,0.39306927602317093,0.36004235676953567,0.4297083167061908,52,2133,0.39306927602317093,next_use_all_policies
CoverageDelta,0.5,0.5306754329419155,0.4833619884069509,0.5787353523143894,52,2133,0.5306754329419155,next_use_all_policies
CoverageDelta,0.6,0.6890698367791807,0.6497957604118125,0.7292761466400148,52,2133,0.6890698367791807,next_use_all_policies
CoverageDelta,0.8,0.8946574843746655,0.872767899313145,0.915880107263873,52,2133,0.8946574843746655,next_use_all_policies
CoverageDelta,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
DecisionAware,0.1,0.056137391564427035,0.04606104931617459,0.06778795834599563,52,2133,0.056137391564427035,next_use_all_policies
DecisionAware,0.2,0.13345437580497435,0.11115570917690284,0.15734936292329604,52,2133,0.13345437580497435,next_use_all_policies
DecisionAware,0.3,0.24935729568960294,0.22048784781684488,0.2799961271269256,52,2133,0.24935729568960294,next_use_all_policies
DecisionAware,0.4,0.3611350999331846,0.3221524126628437,0.4029945447411361,52,2133,0.3611350999331846,next_use_all_policies
DecisionAware,0.5,0.5043793335917193,0.4538733769784625,0.559757543600925,52,2133,0.5043793335917193,next_use_all_policies
DecisionAware,0.6,0.6593773426865441,0.6143796024656207,0.7047800552143451,52,2133,0.6593773426865441,next_use_all_policies
DecisionAware,0.8,0.876174843986655,0.8484899699736902,0.9028143443544142,52,2133,0.876174843986655,next_use_all_policies
DecisionAware,1.0,1.0,1.0,1.0,52,2133,1.0,next_use_all_policies
FirstLook,0.1,0.06038301562719599,0.04925337838592318,0.07222588845783992,52,2133,0.06038301562719599,next_use_all_policies
FirstLook,0.2,0.1477869492994002,0.12523216805402035,0.17250081194007647,52,2133,0.1477869492994002,next_use_all_policies
FirstLook,0.3,0.2798893751760226,0.2499621259463005,0.31150765981056333,52,2133,0.2798893751760226,next_use_all_policies
FirstLook,0.4,0.39746411343644483,0.35942546207632403,0.44001114743523256,52,2133,0.39746411343644483,next_use_all_policies
